"record_index","cell_id","raw_class","source_sample","split","cell_dir"
"0","Hela_01_cell_001","HeLa","Hela_01","val","data\raw\res\HeLa\Hela_01_cell_001"
"1","Hela_01_cell_002","HeLa","Hela_01","val","data\raw\res\HeLa\Hela_01_cell_002"
"2","Hela_01_cell_003","HeLa","Hela_01","val","data\raw\res\HeLa\Hela_01_cell_003"
"3","Hela_01_cell_004","HeLa","Hela_01","val","data\raw\res\HeLa\Hela_01_cell_004"
"4","Hela_01_cell_005","HeLa","Hela_01","val","data\raw\res\HeLa\Hela_01_cell_005"
"5","Hela_02_cell_001","HeLa","Hela_02","train","data\raw\res\HeLa\Hela_02_cell_001"
"6","Hela_02_cell_002","HeLa","Hela_02","train","data\raw\res\HeLa\Hela_02_cell_002"
"7","Hela_02_cell_003","HeLa","Hela_02","train","data\raw\res\HeLa\Hela_02_cell_003"
"8","Hela_02_cell_004","HeLa","Hela_02","train","data\raw\res\HeLa\Hela_02_cell_004"
"9","Hela_02_cell_005","HeLa","Hela_02","train","data\raw\res\HeLa\Hela_02_cell_005"
"10","Hela_02_cell_006","HeLa","Hela_02","train","data\raw\res\HeLa\Hela_02_cell_006"
"11","Hela_02_cell_007","HeLa","Hela_02","train","data\raw\res\HeLa\Hela_02_cell_007"
"12","Hela_03_cell_001","HeLa","Hela_03","train","data\raw\res\HeLa\Hela_03_cell_001"
"13","Hela_03_cell_002","HeLa","Hela_03","train","data\raw\res\HeLa\Hela_03_cell_002"
"14","Hela_03_cell_003","HeLa","Hela_03","train","data\raw\res\HeLa\Hela_03_cell_003"
"15","Hela_03_cell_004","HeLa","Hela_03","train","data\raw\res\HeLa\Hela_03_cell_004"
"16","Hela_03_cell_005","HeLa","Hela_03","train","data\raw\res\HeLa\Hela_03_cell_005"
"17","Hela_03_cell_006","HeLa","Hela_03","train","data\raw\res\HeLa\Hela_03_cell_006"
"18","Hela_03_cell_007","HeLa","Hela_03","train","data\raw\res\HeLa\Hela_03_cell_007"
"19","Hela_03_cell_008","HeLa","Hela_03","train","data\raw\res\HeLa\Hela_03_cell_008"
"20","Hela_03_cell_009","HeLa","Hela_03","train","data\raw\res\HeLa\Hela_03_cell_009"
"21","Hela_03_cell_010","HeLa","Hela_03","train","data\raw\res\HeLa\Hela_03_cell_010"
"22","Hela_03_cell_011","HeLa","Hela_03","train","data\raw\res\HeLa\Hela_03_cell_011"
"23","Hela_03_cell_012","HeLa","Hela_03","train","data\raw\res\HeLa\Hela_03_cell_012"
"24","Hela_03_cell_013","HeLa","Hela_03","train","data\raw\res\HeLa\Hela_03_cell_013"
"25","Hela_04_cell_001","HeLa","Hela_04","train","data\raw\res\HeLa\Hela_04_cell_001"
"26","Hela_04_cell_002","HeLa","Hela_04","train","data\raw\res\HeLa\Hela_04_cell_002"
"27","Hela_04_cell_003","HeLa","Hela_04","train","data\raw\res\HeLa\Hela_04_cell_003"
"28","Hela_04_cell_004","HeLa","Hela_04","train","data\raw\res\HeLa\Hela_04_cell_004"
"29","Hela_04_cell_005","HeLa","Hela_04","train","data\raw\res\HeLa\Hela_04_cell_005"
