input,true_class,predicted_class,count,row_fraction
D-FFOCT,HeLa,HeLa,12,0.6666666666666666
D-FFOCT,HeLa,OA,3,0.16666666666666666
D-FFOCT,HeLa,HepG2,3,0.16666666666666666
D-FFOCT,HeLa,2DG,0,0.0
D-FFOCT,OA,HeLa,0,0.0
D-FFOCT,OA,OA,10,0.7142857142857143
D-FFOCT,OA,HepG2,3,0.21428571428571427
D-FFOCT,OA,2DG,1,0.07142857142857142
D-FFOCT,HepG2,HeLa,1,0.047619047619047616
D-FFOCT,HepG2,OA,0,0.0
D-FFOCT,HepG2,HepG2,16,0.7619047619047619
D-FFOCT,HepG2,2DG,4,0.19047619047619047
D-FFOCT,2DG,HeLa,0,0.0
D-FFOCT,2DG,OA,1,0.038461538461538464
D-FFOCT,2DG,HepG2,6,0.23076923076923078
D-FFOCT,2DG,2DG,19,0.7307692307692307
SRS Lipid/Protein,HeLa,HeLa,9,0.5
SRS Lipid/Protein,HeLa,OA,1,0.05555555555555555
SRS Lipid/Protein,HeLa,HepG2,1,0.05555555555555555
SRS Lipid/Protein,HeLa,2DG,7,0.3888888888888889
SRS Lipid/Protein,OA,HeLa,0,0.0
SRS Lipid/Protein,OA,OA,6,0.42857142857142855
SRS Lipid/Protein,OA,HepG2,4,0.2857142857142857
SRS Lipid/Protein,OA,2DG,4,0.2857142857142857
SRS Lipid/Protein,HepG2,HeLa,1,0.047619047619047616
SRS Lipid/Protein,HepG2,OA,3,0.14285714285714285
SRS Lipid/Protein,HepG2,HepG2,12,0.5714285714285714
SRS Lipid/Protein,HepG2,2DG,5,0.23809523809523808
SRS Lipid/Protein,2DG,HeLa,4,0.15384615384615385
SRS Lipid/Protein,2DG,OA,1,0.038461538461538464
SRS Lipid/Protein,2DG,HepG2,0,0.0
SRS Lipid/Protein,2DG,2DG,21,0.8076923076923077
2PEF FAD/(FAD+NADH),HeLa,HeLa,16,0.8888888888888888
2PEF FAD/(FAD+NADH),HeLa,OA,1,0.05555555555555555
2PEF FAD/(FAD+NADH),HeLa,HepG2,0,0.0
2PEF FAD/(FAD+NADH),HeLa,2DG,1,0.05555555555555555
2PEF FAD/(FAD+NADH),OA,HeLa,0,0.0
2PEF FAD/(FAD+NADH),OA,OA,14,1.0
2PEF FAD/(FAD+NADH),OA,HepG2,0,0.0
2PEF FAD/(FAD+NADH),OA,2DG,0,0.0
2PEF FAD/(FAD+NADH),HepG2,HeLa,4,0.19047619047619047
2PEF FAD/(FAD+NADH),HepG2,OA,1,0.047619047619047616
2PEF FAD/(FAD+NADH),HepG2,HepG2,16,0.7619047619047619
2PEF FAD/(FAD+NADH),HepG2,2DG,0,0.0
2PEF FAD/(FAD+NADH),2DG,HeLa,0,0.0
2PEF FAD/(FAD+NADH),2DG,OA,1,0.038461538461538464
2PEF FAD/(FAD+NADH),2DG,HepG2,5,0.19230769230769232
2PEF FAD/(FAD+NADH),2DG,2DG,20,0.7692307692307693
D-FFOCT + SRS,HeLa,HeLa,15,0.8333333333333334
D-FFOCT + SRS,HeLa,OA,1,0.05555555555555555
D-FFOCT + SRS,HeLa,HepG2,1,0.05555555555555555
D-FFOCT + SRS,HeLa,2DG,1,0.05555555555555555
D-FFOCT + SRS,OA,HeLa,0,0.0
D-FFOCT + SRS,OA,OA,11,0.7857142857142857
D-FFOCT + SRS,OA,HepG2,1,0.07142857142857142
D-FFOCT + SRS,OA,2DG,2,0.14285714285714285
D-FFOCT + SRS,HepG2,HeLa,0,0.0
D-FFOCT + SRS,HepG2,OA,0,0.0
D-FFOCT + SRS,HepG2,HepG2,19,0.9047619047619048
D-FFOCT + SRS,HepG2,2DG,2,0.09523809523809523
D-FFOCT + SRS,2DG,HeLa,0,0.0
D-FFOCT + SRS,2DG,OA,0,0.0
D-FFOCT + SRS,2DG,HepG2,1,0.038461538461538464
D-FFOCT + SRS,2DG,2DG,25,0.9615384615384616
D-FFOCT + 2PEF,HeLa,HeLa,16,0.8888888888888888
D-FFOCT + 2PEF,HeLa,OA,0,0.0
D-FFOCT + 2PEF,HeLa,HepG2,2,0.1111111111111111
D-FFOCT + 2PEF,HeLa,2DG,0,0.0
D-FFOCT + 2PEF,OA,HeLa,0,0.0
D-FFOCT + 2PEF,OA,OA,14,1.0
D-FFOCT + 2PEF,OA,HepG2,0,0.0
D-FFOCT + 2PEF,OA,2DG,0,0.0
D-FFOCT + 2PEF,HepG2,HeLa,3,0.14285714285714285
D-FFOCT + 2PEF,HepG2,OA,0,0.0
D-FFOCT + 2PEF,HepG2,HepG2,16,0.7619047619047619
D-FFOCT + 2PEF,HepG2,2DG,2,0.09523809523809523
D-FFOCT + 2PEF,2DG,HeLa,1,0.038461538461538464
D-FFOCT + 2PEF,2DG,OA,0,0.0
D-FFOCT + 2PEF,2DG,HepG2,0,0.0
D-FFOCT + 2PEF,2DG,2DG,25,0.9615384615384616
SRS + 2PEF,HeLa,HeLa,17,0.9444444444444444
SRS + 2PEF,HeLa,OA,0,0.0
SRS + 2PEF,HeLa,HepG2,0,0.0
SRS + 2PEF,HeLa,2DG,1,0.05555555555555555
SRS + 2PEF,OA,HeLa,0,0.0
SRS + 2PEF,OA,OA,14,1.0
SRS + 2PEF,OA,HepG2,0,0.0
SRS + 2PEF,OA,2DG,0,0.0
SRS + 2PEF,HepG2,HeLa,3,0.14285714285714285
SRS + 2PEF,HepG2,OA,0,0.0
SRS + 2PEF,HepG2,HepG2,18,0.8571428571428571
SRS + 2PEF,HepG2,2DG,0,0.0
SRS + 2PEF,2DG,HeLa,0,0.0
SRS + 2PEF,2DG,OA,0,0.0
SRS + 2PEF,2DG,HepG2,3,0.11538461538461539
SRS + 2PEF,2DG,2DG,23,0.8846153846153846
Trimodal,HeLa,HeLa,17,0.9444444444444444
Trimodal,HeLa,OA,0,0.0
Trimodal,HeLa,HepG2,0,0.0
Trimodal,HeLa,2DG,1,0.05555555555555555
Trimodal,OA,HeLa,0,0.0
Trimodal,OA,OA,14,1.0
Trimodal,OA,HepG2,0,0.0
Trimodal,OA,2DG,0,0.0
Trimodal,HepG2,HeLa,1,0.047619047619047616
Trimodal,HepG2,OA,0,0.0
Trimodal,HepG2,HepG2,20,0.9523809523809523
Trimodal,HepG2,2DG,0,0.0
Trimodal,2DG,HeLa,0,0.0
Trimodal,2DG,OA,1,0.038461538461538464
Trimodal,2DG,HepG2,1,0.038461538461538464
Trimodal,2DG,2DG,24,0.9230769230769231
