baseName,split,inputFile,referenceFile
E_1123LFOV_Alldata_NormalHela1LFOV_images_20251123_201738,held_out_test,data/quant_maps/short_acquisition/E_1123LFOV_Alldata_NormalHela1LFOV_images_20251123_201738_Range48_quant.mat,data/quant_maps/long_reference/E_1123LFOV_Alldata_NormalHela1LFOV_images_20251123_201738_Range512_quant.mat
E_1123LFOV_Alldata_NormalHela1LFOV_images_20251123_201751,held_out_test,data/quant_maps/short_acquisition/E_1123LFOV_Alldata_NormalHela1LFOV_images_20251123_201751_Range48_quant.mat,data/quant_maps/long_reference/E_1123LFOV_Alldata_NormalHela1LFOV_images_20251123_201751_Range512_quant.mat
E_1123LFOV_Alldata_NormalHela1LFOV_images_20251123_201833,held_out_test,data/quant_maps/short_acquisition/E_1123LFOV_Alldata_NormalHela1LFOV_images_20251123_201833_Range48_quant.mat,data/quant_maps/long_reference/E_1123LFOV_Alldata_NormalHela1LFOV_images_20251123_201833_Range512_quant.mat
E_1123LFOV_Alldata_NormalHela1LFOV_images_20251123_201840,held_out_test,data/quant_maps/short_acquisition/E_1123LFOV_Alldata_NormalHela1LFOV_images_20251123_201840_Range48_quant.mat,data/quant_maps/long_reference/E_1123LFOV_Alldata_NormalHela1LFOV_images_20251123_201840_Range512_quant.mat
E_1123LFOV_Alldata_NormalHela1LFOV_images_20251123_201847,held_out_test,data/quant_maps/short_acquisition/E_1123LFOV_Alldata_NormalHela1LFOV_images_20251123_201847_Range48_quant.mat,data/quant_maps/long_reference/E_1123LFOV_Alldata_NormalHela1LFOV_images_20251123_201847_Range512_quant.mat
E_1123LFOV_Alldata_NormalHela1LFOV_images_20251123_201907,held_out_test,data/quant_maps/short_acquisition/E_1123LFOV_Alldata_NormalHela1LFOV_images_20251123_201907_Range48_quant.mat,data/quant_maps/long_reference/E_1123LFOV_Alldata_NormalHela1LFOV_images_20251123_201907_Range512_quant.mat
E_1123LFOV_Alldata_NormalHela1LFOV_images_20251123_201914,held_out_test,data/quant_maps/short_acquisition/E_1123LFOV_Alldata_NormalHela1LFOV_images_20251123_201914_Range48_quant.mat,data/quant_maps/long_reference/E_1123LFOV_Alldata_NormalHela1LFOV_images_20251123_201914_Range512_quant.mat
E_1123LFOV_Alldata_NormalHela1LFOV_images_20251123_201921,held_out_test,data/quant_maps/short_acquisition/E_1123LFOV_Alldata_NormalHela1LFOV_images_20251123_201921_Range48_quant.mat,data/quant_maps/long_reference/E_1123LFOV_Alldata_NormalHela1LFOV_images_20251123_201921_Range512_quant.mat
E_1123LFOV_Alldata_NormalHela1LFOV_images_20251123_201928,held_out_test,data/quant_maps/short_acquisition/E_1123LFOV_Alldata_NormalHela1LFOV_images_20251123_201928_Range48_quant.mat,data/quant_maps/long_reference/E_1123LFOV_Alldata_NormalHela1LFOV_images_20251123_201928_Range512_quant.mat
E_1123LFOV_Alldata_NormalHela1LFOV_images_20251123_201935,held_out_test,data/quant_maps/short_acquisition/E_1123LFOV_Alldata_NormalHela1LFOV_images_20251123_201935_Range48_quant.mat,data/quant_maps/long_reference/E_1123LFOV_Alldata_NormalHela1LFOV_images_20251123_201935_Range512_quant.mat
E_1123LFOV_Alldata_NormalHela1LFOV_images_20251123_201949,held_out_test,data/quant_maps/short_acquisition/E_1123LFOV_Alldata_NormalHela1LFOV_images_20251123_201949_Range48_quant.mat,data/quant_maps/long_reference/E_1123LFOV_Alldata_NormalHela1LFOV_images_20251123_201949_Range512_quant.mat
E_1123LFOV_Alldata_NormalHela1LFOV_images_20251123_201956,held_out_test,data/quant_maps/short_acquisition/E_1123LFOV_Alldata_NormalHela1LFOV_images_20251123_201956_Range48_quant.mat,data/quant_maps/long_reference/E_1123LFOV_Alldata_NormalHela1LFOV_images_20251123_201956_Range512_quant.mat
E_1123LFOV_Alldata_NormalHela1LFOV_images_20251123_202024,held_out_test,data/quant_maps/short_acquisition/E_1123LFOV_Alldata_NormalHela1LFOV_images_20251123_202024_Range48_quant.mat,data/quant_maps/long_reference/E_1123LFOV_Alldata_NormalHela1LFOV_images_20251123_202024_Range512_quant.mat
E_OA1215_OAFOVnew_OA2FOV2_images_20251215_211824,held_out_test,data/quant_maps/short_acquisition/E_OA1215_OAFOVnew_OA2FOV2_images_20251215_211824_Range48_quant.mat,data/quant_maps/long_reference/E_OA1215_OAFOVnew_OA2FOV2_images_20251215_211824_Range512_quant.mat
E_OA1215_OAFOVnew_OA2FOV2_images_20251215_211844,held_out_test,data/quant_maps/short_acquisition/E_OA1215_OAFOVnew_OA2FOV2_images_20251215_211844_Range48_quant.mat,data/quant_maps/long_reference/E_OA1215_OAFOVnew_OA2FOV2_images_20251215_211844_Range512_quant.mat
E_OA1215_OAFOVnew_OA2FOV2_images_20251215_211905,held_out_test,data/quant_maps/short_acquisition/E_OA1215_OAFOVnew_OA2FOV2_images_20251215_211905_Range48_quant.mat,data/quant_maps/long_reference/E_OA1215_OAFOVnew_OA2FOV2_images_20251215_211905_Range512_quant.mat
E_OA1215_OAFOVnew_OA2FOV2_images_20251215_211912,held_out_test,data/quant_maps/short_acquisition/E_OA1215_OAFOVnew_OA2FOV2_images_20251215_211912_Range48_quant.mat,data/quant_maps/long_reference/E_OA1215_OAFOVnew_OA2FOV2_images_20251215_211912_Range512_quant.mat
E_OALfov_OAforTrain_OAcellsLFOV4_images_20251113_230613,held_out_test,data/quant_maps/short_acquisition/E_OALfov_OAforTrain_OAcellsLFOV4_images_20251113_230613_Range48_quant.mat,data/quant_maps/long_reference/E_OALfov_OAforTrain_OAcellsLFOV4_images_20251113_230613_Range512_quant.mat
E_OALfov_OAforTrain_OAcellsLFOV4_images_20251113_230655,held_out_test,data/quant_maps/short_acquisition/E_OALfov_OAforTrain_OAcellsLFOV4_images_20251113_230655_Range48_quant.mat,data/quant_maps/long_reference/E_OALfov_OAforTrain_OAcellsLFOV4_images_20251113_230655_Range512_quant.mat
E_OALfov_OAforTrain_OAcellsLFOV4_images_20251113_230722,held_out_test,data/quant_maps/short_acquisition/E_OALfov_OAforTrain_OAcellsLFOV4_images_20251113_230722_Range48_quant.mat,data/quant_maps/long_reference/E_OALfov_OAforTrain_OAcellsLFOV4_images_20251113_230722_Range512_quant.mat
E_OALfov_OAforTrain_OAcellsLFOV4_images_20251113_230729,held_out_test,data/quant_maps/short_acquisition/E_OALfov_OAforTrain_OAcellsLFOV4_images_20251113_230729_Range48_quant.mat,data/quant_maps/long_reference/E_OALfov_OAforTrain_OAcellsLFOV4_images_20251113_230729_Range512_quant.mat
E_OALfov_OAforTrain_OAcellsLFOV4_images_20251113_230736,held_out_test,data/quant_maps/short_acquisition/E_OALfov_OAforTrain_OAcellsLFOV4_images_20251113_230736_Range48_quant.mat,data/quant_maps/long_reference/E_OALfov_OAforTrain_OAcellsLFOV4_images_20251113_230736_Range512_quant.mat
E_OALfov_OAforTrain_OAcellsLFOV4_images_20251113_230750,held_out_test,data/quant_maps/short_acquisition/E_OALfov_OAforTrain_OAcellsLFOV4_images_20251113_230750_Range48_quant.mat,data/quant_maps/long_reference/E_OALfov_OAforTrain_OAcellsLFOV4_images_20251113_230750_Range512_quant.mat
