sampleOrder,sourceIndex,baseName
1,1,E_1123LFOV_Alldata_NormalHela1LFOV_images_20251123_201738
2,3,E_1123LFOV_Alldata_NormalHela1LFOV_images_20251123_201751
3,9,E_1123LFOV_Alldata_NormalHela1LFOV_images_20251123_201833
4,10,E_1123LFOV_Alldata_NormalHela1LFOV_images_20251123_201840
5,11,E_1123LFOV_Alldata_NormalHela1LFOV_images_20251123_201847
6,14,E_1123LFOV_Alldata_NormalHela1LFOV_images_20251123_201907
7,15,E_1123LFOV_Alldata_NormalHela1LFOV_images_20251123_201914
8,16,E_1123LFOV_Alldata_NormalHela1LFOV_images_20251123_201921
9,17,E_1123LFOV_Alldata_NormalHela1LFOV_images_20251123_201928
10,18,E_1123LFOV_Alldata_NormalHela1LFOV_images_20251123_201935
11,20,E_1123LFOV_Alldata_NormalHela1LFOV_images_20251123_201949
12,21,E_1123LFOV_Alldata_NormalHela1LFOV_images_20251123_201956
13,25,E_1123LFOV_Alldata_NormalHela1LFOV_images_20251123_202024
14,27,E_OA1215_OAFOVnew_OA2FOV2_images_20251215_211824
15,30,E_OA1215_OAFOVnew_OA2FOV2_images_20251215_211844
16,33,E_OA1215_OAFOVnew_OA2FOV2_images_20251215_211905
17,34,E_OA1215_OAFOVnew_OA2FOV2_images_20251215_211912
18,45,E_OALfov_OAforTrain_OAcellsLFOV4_images_20251113_230613
19,51,E_OALfov_OAforTrain_OAcellsLFOV4_images_20251113_230655
20,55,E_OALfov_OAforTrain_OAcellsLFOV4_images_20251113_230722
21,56,E_OALfov_OAforTrain_OAcellsLFOV4_images_20251113_230729
22,57,E_OALfov_OAforTrain_OAcellsLFOV4_images_20251113_230736
23,59,E_OALfov_OAforTrain_OAcellsLFOV4_images_20251113_230750
24,60,E_OALfov_OAforTrain_OAcellsLFOV4_images_20251113_230756
25,61,E_OALfov_OAforTrain_OAcellsLFOV4_images_20251113_230803
26,66,E_OALfov_OAforTrain_OAcellsLFOV4_images_20251113_230838
27,68,F_OAFOV3_OAcellsLFOV3_images_20251113_220216
28,72,F_OAFOV3_OAcellsLFOV3_images_20251113_220244
29,73,F_OAFOV3_OAcellsLFOV3_images_20251113_220251
30,75,F_OAFOV3_OAcellsLFOV3_images_20251113_220304
31,76,F_OAFOV3_OAcellsLFOV3_images_20251113_220311
32,78,F_OAFOV3_OAcellsLFOV3_images_20251113_220325
33,80,F_OAFOV3_OAcellsLFOV3_images_20251113_220339
34,81,F_OAFOV3_OAcellsLFOV3_images_20251113_220346
35,87,F_OAFOV3_OAcellsLFOV3_images_20251113_220430
