cell_group,cell_group_label,image_name,organelle,intersection_pixels,gt_foreground_pixels,predicted_foreground_pixels,false_positive_pixels,false_negative_pixels,dice,height,width,gt_mask_path,predicted_mask_path
2DGCell,2DG,2DGLT1_images_20260101_130207_RGB,cytoplasm,101175,108374,131227,30052,7199,0.8445290295,550,800,Manually Annotated Results/2DGCell/2DGLT1_images_20260101_130207_RGB/cytoplasm_labels.png,Predicted Results/2DGCell/FinalMasks/Cytoplasm_binary/2DGLT1_images_20260101_130207_RGB_cytoplasm.png
2DGCell,2DG,2DGLT1_images_20260101_130207_RGB,nucleus,41530,55246,43460,1930,13716,0.8414888659,550,800,Manually Annotated Results/2DGCell/2DGLT1_images_20260101_130207_RGB/nucleus_labels.png,Predicted Results/2DGCell/FinalMasks/Nucleus_binary/2DGLT1_images_20260101_130207_RGB_nucleus.png
2DGCell,2DG,2DGLT1_images_20260101_130207_RGB,nucleolus,2909,3599,3577,668,690,0.8107580825,550,800,Manually Annotated Results/2DGCell/2DGLT1_images_20260101_130207_RGB/nucleolus_labels.png,Predicted Results/2DGCell/FinalMasks/Nucleolus_binary/2DGLT1_images_20260101_130207_RGB_nucleolus.png
2DGCell,2DG,2HelaNew2dgF5_images_20251021_002124_RGB,cytoplasm,116081,134053,148420,32339,17972,0.8218909418,550,800,Manually Annotated Results/2DGCell/2HelaNew2dgF5_images_20251021_002124_RGB/cytoplasm_labels.png,Predicted Results/2DGCell/FinalMasks/Cytoplasm_binary/2HelaNew2dgF5_images_20251021_002124_RGB_cytoplasm.png
2DGCell,2DG,2HelaNew2dgF5_images_20251021_002124_RGB,nucleus,63685,82778,67074,3389,19093,0.8499719723,550,800,Manually Annotated Results/2DGCell/2HelaNew2dgF5_images_20251021_002124_RGB/nucleus_labels.png,Predicted Results/2DGCell/FinalMasks/Nucleus_binary/2HelaNew2dgF5_images_20251021_002124_RGB_nucleus.png
2DGCell,2DG,2HelaNew2dgF5_images_20251021_002124_RGB,nucleolus,3098,3512,4117,1019,414,0.8121641106,550,800,Manually Annotated Results/2DGCell/2HelaNew2dgF5_images_20251021_002124_RGB/nucleolus_labels.png,Predicted Results/2DGCell/FinalMasks/Nucleolus_binary/2HelaNew2dgF5_images_20251021_002124_RGB_nucleolus.png
2DGCell,2DG,Hela102dg_images_20250924_181334_RGB,cytoplasm,118553,139542,148416,29863,20989,0.8234048021,550,800,Manually Annotated Results/2DGCell/Hela102dg_images_20250924_181334_RGB/cytoplasm_labels.png,Predicted Results/2DGCell/FinalMasks/Cytoplasm_binary/Hela102dg_images_20250924_181334_RGB_cytoplasm.png
2DGCell,2DG,Hela102dg_images_20250924_181334_RGB,nucleus,84148,104322,87158,3010,20174,0.8789220806,550,800,Manually Annotated Results/2DGCell/Hela102dg_images_20250924_181334_RGB/nucleus_labels.png,Predicted Results/2DGCell/FinalMasks/Nucleus_binary/Hela102dg_images_20250924_181334_RGB_nucleus.png
2DGCell,2DG,Hela102dg_images_20250924_181334_RGB,nucleolus,7091,8025,9278,2187,934,0.8196266543,550,800,Manually Annotated Results/2DGCell/Hela102dg_images_20250924_181334_RGB/nucleolus_labels.png,Predicted Results/2DGCell/FinalMasks/Nucleolus_binary/Hela102dg_images_20250924_181334_RGB_nucleolus.png
2DGCell,2DG,NormalHela1LFOVNewZAfter_images_20251123_205913_RGB,cytoplasm,103426,118013,130043,26617,14587,0.8338923469,550,800,Manually Annotated Results/2DGCell/NormalHela1LFOVNewZAfter_images_20251123_205913_RGB/cytoplasm_labels.png,Predicted Results/2DGCell/FinalMasks/Cytoplasm_binary/NormalHela1LFOVNewZAfter_images_20251123_205913_RGB_cytoplasm.png
