group,frame,compartment,different_pixels,recomputed_dice,archived_dice,dice_absolute_difference
2DG,2DGLT1_images_20260101_130207_RGB,cytoplasm,0,0.844529029511563,0.8445290295,1.1562972801471005e-11
2DG,2DGLT1_images_20260101_130207_RGB,nucleus,0,0.8414888659250704,0.8414888659,2.507039020827051e-11
2DG,2DGLT1_images_20260101_130207_RGB,nucleolus,0,0.8107580824972129,0.8107580825,2.787103881018993e-12
2DG,2HelaNew2dgF5_images_20251021_002124_RGB,cytoplasm,0,0.8218909417891267,0.8218909418,1.0873302258573858e-11
2DG,2HelaNew2dgF5_images_20251021_002124_RGB,nucleus,0,0.8499719723460482,0.8499719723,4.6048165280865305e-11
2DG,2HelaNew2dgF5_images_20251021_002124_RGB,nucleolus,0,0.8121641106304889,0.8121641106,3.0488833679953586e-11
2DG,Hela102dg_images_20250924_181334_RGB,cytoplasm,0,0.8234048020891935,0.8234048021,1.0806466832491424e-11
2DG,Hela102dg_images_20250924_181334_RGB,nucleus,0,0.8789220806350533,0.8789220806,3.505329360109499e-11
2DG,Hela102dg_images_20250924_181334_RGB,nucleolus,0,0.8196266543373981,0.8196266543,3.739808462910332e-11
2DG,NormalHela1LFOVNewZAfter_images_20251123_205913_RGB,cytoplasm,0,0.833892346889412,0.8338923469,1.0587974941245193e-11
2DG,NormalHela1LFOVNewZAfter_images_20251123_205913_RGB,nucleus,0,0.8845309252322181,0.8845309252,3.221811706310973e-11
2DG,NormalHela1LFOVNewZAfter_images_20251123_205913_RGB,nucleolus,0,0.8704689480354879,0.870468948,3.548794591523574e-11
2DG,P2New_images_20251226_163553_RGB,cytoplasm,0,0.8808484570028333,0.880848457,2.8332891588433995e-12
2DG,P2New_images_20251226_163553_RGB,nucleus,0,0.9125277983691623,0.9125277984,3.083766575429081e-11
2DG,P2New_images_20251226_163553_RGB,nucleolus,0,0.864084552426371,0.8640845524,2.637101648161888e-11
2DG,P3New_images_20251226_170333_RGB,cytoplasm,0,0.8389050559538174,0.838905056,4.618261328914741e-11
2DG,P3New_images_20251226_170333_RGB,nucleus,0,0.8923272480220912,0.892327248,2.2091217743991365e-11
2DG,P3New_images_20251226_170333_RGB,nucleolus,0,0.8145770931393524,0.8145770931,3.9352410219350986e-11
4T1,4t1_save_20260723_155148_HSV_RGB,cytoplasm,0,0.8724734498115793,0.8724734498,1.1579293079932995e-11
4T1,4t1_save_20260723_155148_HSV_RGB,nucleus,0,0.8781391147244806,0.8781391147,2.4480639737589627e-11
4T1,4t1_save_20260723_155148_HSV_RGB,nucleolus,0,0.8629498941425547,0.8629498941,4.255473751157979e-11
4T1,4t1_save_20260723_162941_HSV_RGB,cytoplasm,0,0.9009142798109455,0.9009142798,1.0945466755174493e-11
4T1,4t1_save_20260723_162941_HSV_RGB,nucleus,0,0.8860773921468057,0.8860773921,4.680567045056705e-11
4T1,4t1_save_20260723_162941_HSV_RGB,nucleolus,0,0.7630326742095802,0.7630326742,9.580225501792938e-12
4T1,4t1_save_20260723_165842_HSV_RGB,cytoplasm,0,0.823461073519946,0.8234610735,1.9946044815810637e-11
4T1,4t1_save_20260723_165842_HSV_RGB,nucleus,0,0.8193881405010701,0.8193881405,1.0701439734361884e-12
4T1,4t1_save_20260723_165842_HSV_RGB,nucleolus,0,0.8197463036276965,0.8197463036,2.7696511750718855e-11
4T1,4T1_save_20260724_123502_HSV_RGB,cytoplasm,0,0.8727312091798073,0.8727312092,2.0192736371882347e-11
4T1,4T1_save_20260724_123502_HSV_RGB,nucleus,0,0.9178750508198943,0.9178750508,1.9894308422863105e-11
4T1,4T1_save_20260724_123502_HSV_RGB,nucleolus,0,0.8379477758824301,0.8379477759,1.7569945498507877e-11
4T1,4T1_save_20260724_123703_HSV_RGB,cytoplasm,0,0.8970354066225866,0.8970354066,2.258659925757911e-11
4T1,4T1_save_20260724_123703_HSV_RGB,nucleus,0,0.8967668538294983,0.8967668538,2.949829269738302e-11
4T1,4T1_save_20260724_123703_HSV_RGB,nucleolus,0,0.7800477580260016,0.780047758,2.600153425902363e-11
4T1,4T1_save_20260724_141221_HSV_RGB,cytoplasm,0,0.86438809261301,0.8643880926,1.3009926469464972e-11
4T1,4T1_save_20260724_141221_HSV_RGB,nucleus,0,0.8886820223164303,0.8886820223,1.6430301563730154e-11
4T1,4T1_save_20260724_141221_HSV_RGB,nucleolus,0,0.8697721011770598,0.8697721012,2.2940205290922222e-11
HeLa,Hela1,cytoplasm,0,0.878239722377823,0.8782397224,2.217703798379489e-11
HeLa,Hela1,nucleus,0,0.8970853603961254,0.8970853604,3.874567333639334e-12
HeLa,Hela1,nucleolus,0,0.8728369582473409,0.8728369582,4.734090897073884e-11
HeLa,Hela2,cytoplasm,0,0.8780879364420551,0.8780879364,4.2055026128196005e-11
HeLa,Hela2,nucleus,0,0.8691822360487268,0.869182236,4.872680037237842e-11
HeLa,Hela2,nucleolus,0,0.8824244156958044,0.8824244157,4.1955328100584666e-12
HeLa,Hela3,cytoplasm,0,0.8132770114712418,0.8132770115,2.8758218029167892e-11
HeLa,Hela3,nucleus,0,0.8326042460970422,0.8326042461,2.9577451599038795e-12
HeLa,Hela3,nucleolus,0,0.8443962400578453,0.8443962401,4.2154724155807344e-11
HeLa,Hela4,cytoplasm,0,0.806433748284414,0.8064337483,1.5585976953502723e-11
HeLa,Hela4,nucleus,0,0.805023896854507,0.8050238969,4.5492942746250264e-11
HeLa,Hela4,nucleolus,0,0.8266088696232078,0.8266088696,2.3207769039856885e-11
HeLa,Hela5,cytoplasm,0,0.8715724932180998,0.8715724932,1.8099854948161465e-11
HeLa,Hela5,nucleus,0,0.8694627657817369,0.8694627658,1.8263168755083825e-11
HeLa,Hela5,nucleolus,0,0.8671544715447155,0.8671544715,4.471545356210527e-11
HeLa,Hela6,cytoplasm,0,0.8790696172326065,0.8790696172,3.260647307712361e-11
HeLa,Hela6,nucleus,0,0.9119787163285666,0.9119787163,2.856659353511759e-11
HeLa,Hela6,nucleolus,0,0.8585097900239214,0.85850979,2.3921309377783473e-11
HeLa,Hela7,cytoplasm,0,0.8748659395779366,0.8748659396,2.2063462168375736e-11
HeLa,Hela7,nucleus,0,0.901844351572459,0.9018443516,2.754096950496887e-11
HeLa,Hela7,nucleolus,0,0.848257698541329,0.8482576985,4.1329051292393615e-11
HepG2,HeG2p_images_20251207_163322_RGB,cytoplasm,0,0.8862140538239103,0.8862140538,2.3910318169839684e-11
HepG2,HeG2p_images_20251207_163322_RGB,nucleus,0,0.8730573108546612,0.8730573109,4.533884379043229e-11
HepG2,HeG2p_images_20251207_163322_RGB,nucleolus,0,0.851363236587511,0.8513632366,1.2489009826310848e-11
HepG2,HeG2pZ2-1UM_images_20251207_170439_RGB,cytoplasm,0,0.8830146311653059,0.8830146312,3.4694136452628754e-11
HepG2,HeG2pZ2-1UM_images_20251207_170439_RGB,nucleus,0,0.8773063624907099,0.8773063625,9.290124225458385e-12
HepG2,HeG2pZ2-1UM_images_20251207_170439_RGB,nucleolus,0,0.8272403752830799,0.8272403753,1.6920131962194773e-11
HepG2,HepG2-2_images_20251217_105011_RGB,cytoplasm,0,0.8944450553478484,0.8944450553,4.7848391915294997e-11
HepG2,HepG2-2_images_20251217_105011_RGB,nucleus,0,0.9122435343773936,0.9122435344,2.2606361227417437e-11
HepG2,HepG2-2_images_20251217_105011_RGB,nucleolus,0,0.8340632603406326,0.8340632603,4.0632608389046254e-11
HepG2,P3Before2DG_images_20251226_153335_RGB,cytoplasm,0,0.8690186856890347,0.8690186857,1.0965228725012821e-11
HepG2,P3Before2DG_images_20251226_153335_RGB,nucleus,0,0.8348569219678845,0.834856922,3.2115421433331903e-11
HepG2,P3Before2DG_images_20251226_153335_RGB,nucleolus,0,0.7641804052581886,0.7641804053,4.181133217429078e-11
HepG2,P4Before2DG_images_20251226_153445_RGB,cytoplasm,0,0.8846665917146458,0.8846665917,1.464584009625014e-11
HepG2,P4Before2DG_images_20251226_153445_RGB,nucleus,0,0.8872477260391137,0.887247726,3.911371226905658e-11
HepG2,P4Before2DG_images_20251226_153445_RGB,nucleolus,0,0.8013680610365693,0.801368061,3.6569303141220644e-11
OA,Newcell3_images_20251019_234707_RGB,cytoplasm,0,0.8775252611398044,0.8775252611,3.980449303497835e-11
OA,Newcell3_images_20251019_234707_RGB,nucleus,0,0.9141141283145563,0.9141141283,1.455624509816289e-11
OA,Newcell3_images_20251019_234707_RGB,nucleolus,0,0.8425688825156202,0.8425688825,1.562028284496364e-11
OA,OA2FOV2_images_20251215_211817_RGB,cytoplasm,0,0.8595368715712125,0.8595368716,2.8787527917017997e-11
OA,OA2FOV2_images_20251215_211817_RGB,nucleus,0,0.832038893404377,0.8320388934,4.376943252282217e-12
OA,OA2FOV2_images_20251215_211817_RGB,nucleolus,0,0.8055099648300117,0.8055099648,3.0011659823969694e-11
OA,OA2FOV2_images_20251215_211925_RGB,cytoplasm,0,0.841382932914744,0.8413829329,1.4743983811627004e-11
OA,OA2FOV2_images_20251215_211925_RGB,nucleus,0,0.8421093369041077,0.8421093369,4.107714168810617e-12
OA,OA2FOV2_images_20251215_211925_RGB,nucleolus,0,0.8455179817498658,0.8455179817,4.986577817334137e-11
OA,OA2FOV2_images_20251215_211939_RGB,cytoplasm,0,0.8900864037411176,0.8900864037,4.111755380620252e-11
OA,OA2FOV2_images_20251215_211939_RGB,nucleus,0,0.8876008849833287,0.887600885,1.6671330982376276e-11
OA,OA2FOV2_images_20251215_211939_RGB,nucleolus,0,0.8527574891499947,0.8527574891,4.999467506650035e-11
OA,OA9LongTime_images_20250925_225313_RGB,cytoplasm,0,0.858428485418229,0.8584284854,1.822897388592537e-11
OA,OA9LongTime_images_20250925_225313_RGB,nucleus,0,0.8831710475421691,0.8831710475,4.216915705512747e-11
OA,OA9LongTime_images_20250925_225313_RGB,nucleolus,0,0.8666963887650468,0.8666963888,3.4953151484273803e-11
OA,OAcellsLFOV3_images_20251113_220216_RGB,cytoplasm,0,0.7638226551135285,0.7638226551,1.3528511644267383e-11
OA,OAcellsLFOV3_images_20251113_220216_RGB,nucleus,0,0.8435928585707915,0.8435928586,2.9208524487955856e-11
OA,OAcellsLFOV3_images_20251113_220216_RGB,nucleolus,0,0.8260593323884463,0.8260593324,1.1553646928064154e-11
OA,OALT_images_20251215_220054_RGB,cytoplasm,0,0.9052584755829411,0.9052584756,1.7058798817970455e-11
OA,OALT_images_20251215_220054_RGB,nucleus,0,0.8612642233181833,0.8612642233,1.8183343719613276e-11
OA,OALT_images_20251215_220054_RGB,nucleolus,0,0.8589956266023224,0.8589956266,2.322475545213365e-12
